Divorced,71772,Male,Prof-specialty,Doctorate
Never-married,172175,Male,?,Doctorate
Never-married,205759,Male,Prof-specialty,Doctorate
Married-civ-spouse,443508,Male,Prof-specialty,Doctorate
Married-civ-spouse,178983,Male,Prof-specialty,Doctorate
Married-civ-spouse,418020,Male,Prof-specialty,Doctorate
Married-civ-spouse,64632,Male,Prof-specialty,Doctorate
Never-married,174215,Female,Prof-specialty,Doctorate
Married-civ-spouse,51620,Male,Prof-specialty,Doctorate
Married-civ-spouse,319165,Male,Prof-specialty,Doctorate
Married-civ-spouse,495061,Male,Prof-specialty,Doctorate
Married-civ-spouse,59145,Male,Exec-managerial,Doctorate
Married-civ-spouse,241431,Male,Prof-specialty,Doctorate
Never-married,164593,Male,Prof-specialty,Doctorate
Never-married,103214,Female,Prof-specialty,Doctorate
Divorced,39181,Female,Exec-managerial,Doctorate
Never-married,36243,Male,?,Doctorate
Divorced,53566,Female,Exec-managerial,Doctorate
Married-civ-spouse,180079,Male,Exec-managerial,Doctorate
Never-married,357145,Female,Prof-specialty,Doctorate
Married-civ-spouse,143098,Male,Prof-specialty,Doctorate
Married-civ-spouse,146908,Male,Prof-specialty,Doctorate
Married-civ-spouse,150755,Male,Exec-managerial,Doctorate
Married-spouse-absent,31387,Female,Prof-specialty,Doctorate
Married-civ-spouse,220531,Male,Prof-specialty,Doctorate
Married-civ-spouse,115511,Male,Prof-specialty,Doctorate
Married-civ-spouse,141511,Male,Prof-specialty,Doctorate
Never-married,225780,Male,Prof-specialty,Doctorate
Married-civ-spouse,139012,Male,Prof-specialty,Doctorate
Married-civ-spouse,276664,Male,Prof-specialty,Doctorate
Married-civ-spouse,86111,Male,Prof-specialty,Doctorate
Married-civ-spouse,101299,Male,Prof-specialty,Doctorate
Married-civ-spouse,182752,Female,Prof-specialty,Doctorate
Divorced,145333,Male,Prof-specialty,Doctorate
Never-married,183597,Male,Prof-specialty,Doctorate
Married-civ-spouse,89011,Male,Prof-specialty,Doctorate
Married-civ-spouse,190297,Male,Prof-specialty,Doctorate
Married-civ-spouse,314149,Male,Prof-specialty,Doctorate
Widowed,167889,Female,Prof-specialty,Doctorate
Divorced,216691,Female,Prof-specialty,Doctorate
Never-married,115945,Male,Adm-clerical,Doctorate
Married-civ-spouse,145160,Male,Prof-specialty,Doctorate
Married-civ-spouse,110426,Female,Prof-specialty,Doctorate
Never-married,406051,Female,Prof-specialty,Doctorate
Married-civ-spouse,146391,Male,Prof-specialty,Doctorate
Never-married,345259,Female,Prof-specialty,Doctorate
Married-civ-spouse,220066,Female,Prof-specialty,Doctorate
Married-civ-spouse,398986,Female,Prof-specialty,Doctorate
Never-married,101096,Female,Prof-specialty,Doctorate
Married-civ-spouse,84979,Male,Farming-fishing,Doctorate
Married-civ-spouse,174283,Male,Prof-specialty,Doctorate
Married-spouse-absent,231793,Female,Prof-specialty,Doctorate
Married-civ-spouse,173243,Male,Prof-specialty,Doctorate
Married-civ-spouse,133969,Male,Prof-specialty,Doctorate
Never-married,169583,Female,Prof-specialty,Doctorate
Married-civ-spouse,272896,Male,Exec-managerial,Doctorate
Married-civ-spouse,148138,Male,Exec-managerial,Doctorate
Widowed,146244,Female,Prof-specialty,Doctorate
Married-civ-spouse,136398,Male,Prof-specialty,Doctorate
Married-civ-spouse,351402,Male,?,Doctorate
Never-married,186385,Male,Prof-specialty,Doctorate
Married-civ-spouse,358668,Male,Prof-specialty,Doctorate
Married-civ-spouse,103179,Male,Exec-managerial,Doctorate
Separated,207540,Male,Exec-managerial,Doctorate
Married-civ-spouse,35092,Male,Exec-managerial,Doctorate
Married-civ-spouse,287647,Male,Prof-specialty,Doctorate
Married-spouse-absent,173929,Male,Prof-specialty,Doctorate
Married-civ-spouse,160703,Male,Prof-specialty,Doctorate
Married-civ-spouse,100029,Male,Prof-specialty,Doctorate
