age,workclassIndex,fnlwgt,educationIndex,maritial_statusIndex,occupationIndex,relationshipIndex,raceIndex,sexIndex,native_countryIndex
50,8.0,283676,14.0,6.0,13.0,5.0,4.0,1.0,41.0
34,6.0,105540,13.0,6.0,14.0,5.0,4.0,1.0,41.0
44,8.0,408717,15.0,4.0,10.0,4.0,4.0,1.0,41.0
21,8.0,57916,15.0,5.0,2.0,3.0,4.0,1.0,41.0
37,8.0,177974,14.0,6.0,8.0,5.0,4.0,1.0,41.0
34,5.0,177304,8.0,4.0,7.0,4.0,4.0,1.0,21.0
18,8.0,115839,4.0,5.0,11.0,4.0,4.0,0.0,41.0
34,5.0,205256,15.0,6.0,7.0,5.0,4.0,1.0,41.0
38,8.0,117802,15.0,6.0,8.0,5.0,4.0,1.0,41.0
19,8.0,211355,15.0,5.0,11.0,3.0,4.0,1.0,41.0
46,8.0,173243,15.0,6.0,13.0,5.0,4.0,1.0,41.0
19,8.0,343200,14.0,5.0,10.0,3.0,4.0,0.0,41.0
22,8.0,401690,14.0,5.0,10.0,3.0,4.0,0.0,40.0
38,8.0,196123,15.0,6.0,13.0,5.0,4.0,1.0,41.0
33,8.0,168981,12.0,4.0,12.0,3.0,4.0,0.0,41.0
83,7.0,213866,15.0,2.0,12.0,4.0,4.0,1.0,41.0
34,8.0,55176,14.0,6.0,3.0,5.0,4.0,1.0,41.0
38,8.0,153976,15.0,6.0,13.0,5.0,4.0,1.0,41.0
33,8.0,119176,14.0,2.0,11.0,2.0,4.0,0.0,41.0
27,8.0,169117,15.0,6.0,11.0,1.0,3.0,0.0,41.0
38,8.0,156550,15.0,6.0,13.0,5.0,4.0,1.0,41.0
25,8.0,109609,14.0,5.0,9.0,4.0,4.0,1.0,41.0
38,8.0,26698,15.0,6.0,3.0,5.0,4.0,1.0,41.0
52,8.0,236497,13.0,6.0,12.0,5.0,4.0,1.0,41.0
33,4.0,306309,12.0,5.0,14.0,4.0,4.0,1.0,41.0
17,8.0,242773,10.0,5.0,9.0,3.0,4.0,0.0,41.0
28,8.0,124680,13.0,5.0,12.0,4.0,4.0,0.0,41.0
52,6.0,43909,15.0,4.0,11.0,2.0,3.0,0.0,41.0
34,8.0,112820,15.0,3.0,5.0,4.0,4.0,1.0,41.0
25,8.0,148300,13.0,5.0,14.0,3.0,4.0,0.0,41.0
17,8.0,133449,5.0,5.0,9.0,3.0,3.0,1.0,41.0
22,8.0,263670,15.0,5.0,9.0,3.0,3.0,1.0,41.0
22,8.0,276494,15.0,5.0,5.0,4.0,3.0,1.0,41.0
46,8.0,190115,14.0,6.0,10.0,5.0,4.0,1.0,41.0
58,8.0,317479,15.0,4.0,8.0,4.0,3.0,0.0,41.0
39,8.0,151248,14.0,4.0,10.0,0.0,4.0,0.0,41.0
59,6.0,130532,14.0,2.0,9.0,4.0,4.0,0.0,22.0
61,8.0,160062,15.0,6.0,11.0,5.0,4.0,1.0,41.0
32,8.0,299635,11.0,6.0,13.0,5.0,4.0,1.0,41.0
50,8.0,171225,13.0,6.0,12.0,5.0,2.0,1.0,38.0
51,8.0,33304,15.0,6.0,13.0,5.0,4.0,1.0,41.0
43,8.0,95634,13.0,6.0,9.0,1.0,2.0,0.0,39.0
20,8.0,243878,14.0,5.0,13.0,3.0,4.0,1.0,41.0
38,6.0,181721,13.0,6.0,12.0,5.0,3.0,1.0,41.0
44,2.0,201435,11.0,6.0,13.0,5.0,3.0,1.0,41.0
28,8.0,334032,11.0,5.0,10.0,4.0,4.0,1.0,41.0
50,8.0,220019,12.0,6.0,14.0,1.0,4.0,0.0,41.0
53,8.0,71772,3.0,4.0,14.0,4.0,4.0,1.0,41.0
42,7.0,27661,13.0,6.0,10.0,5.0,4.0,1.0,41.0
47,8.0,191411,12.0,6.0,14.0,5.0,2.0,1.0,33.0
39,8.0,123945,15.0,6.0,11.0,1.0,4.0,0.0,41.0
38,7.0,37778,15.0,5.0,4.0,4.0,4.0,1.0,41.0
34,4.0,171216,13.0,5.0,14.0,3.0,4.0,1.0,41.0
40,8.0,93955,14.0,6.0,14.0,1.0,4.0,0.0,41.0
63,8.0,163809,14.0,2.0,10.0,4.0,4.0,0.0,41.0
53,8.0,346754,14.0,6.0,12.0,1.0,4.0,0.0,41.0
43,8.0,188436,11.0,4.0,14.0,4.0,4.0,1.0,41.0
28,8.0,72443,14.0,5.0,12.0,4.0,4.0,1.0,41.0
68,8.0,186350,15.0,2.0,12.0,4.0,4.0,0.0,41.0
22,5.0,214238,7.0,5.0,7.0,2.0,4.0,0.0,40.0
46,4.0,394860,13.0,6.0,14.0,5.0,4.0,1.0,41.0
57,8.0,262642,15.0,5.0,11.0,0.0,4.0,0.0,41.0
38,8.0,125550,15.0,4.0,11.0,4.0,4.0,0.0,41.0
66,8.0,192504,12.0,6.0,10.0,5.0,4.0,1.0,41.0
29,8.0,131310,9.0,5.0,10.0,3.0,4.0,0.0,41.0
54,8.0,249322,13.0,6.0,10.0,5.0,4.0,1.0,41.0
38,8.0,172755,15.0,5.0,14.0,4.0,4.0,1.0,41.0
35,8.0,209993,10.0,3.0,1.0,2.0,4.0,0.0,40.0
30,8.0,166961,13.0,5.0,14.0,3.0,4.0,0.0,41.0
39,8.0,315291,15.0,5.0,11.0,2.0,3.0,0.0,41.0
31,8.0,284703,12.0,5.0,14.0,4.0,3.0,1.0,41.0
50,8.0,166565,15.0,6.0,8.0,5.0,4.0,1.0,41.0
30,7.0,173854,15.0,6.0,13.0,5.0,4.0,1.0,41.0
25,8.0,189219,13.0,5.0,10.0,3.0,4.0,0.0,41.0
24,8.0,210781,13.0,5.0,1.0,4.0,4.0,0.0,14.0
59,6.0,171328,15.0,3.0,2.0,0.0,3.0,0.0,41.0
45,8.0,199832,13.0,6.0,11.0,5.0,4.0,1.0,41.0
64,8.0,251292,2.0,3.0,9.0,0.0,4.0,0.0,32.0
61,8.0,122246,4.0,6.0,9.0,1.0,4.0,0.0,41.0
42,8.0,190767,11.0,4.0,3.0,2.0,4.0,0.0,41.0
28,8.0,278736,2.0,6.0,8.0,5.0,4.0,1.0,40.0
53,8.0,124963,15.0,4.0,5.0,4.0,4.0,1.0,41.0
33,7.0,167476,10.0,4.0,5.0,4.0,4.0,1.0,41.0
34,6.0,246104,12.0,6.0,14.0,5.0,3.0,1.0,41.0
41,8.0,171615,14.0,6.0,9.0,5.0,4.0,1.0,41.0
67,8.0,264095,14.0,6.0,5.0,5.0,4.0,1.0,32.0
46,8.0,177114,9.0,2.0,14.0,2.0,4.0,0.0,41.0
32,8.0,146154,15.0,6.0,10.0,1.0,4.0,0.0,41.0
